,geneID,geneName,gamma,n_reads,n_reads_phasable,n_snvs,alpha_hat,alpha_hat_low,alpha_hat_high,major_hap,ll_alt,ll_null,lrt_stat,p_value,chi2_isoform,df_isoform,p_value_isoform,p_value_isoform_low,p_value_isoform_high,CellType,p_value_gene_adj,p_value_isoform_adj,p_value_isoform_adj_high,p_value_isoform_adj_low
49,ENSG00000128294,TPST2,0.948134224450014,1596,592,9,0.468518964952744,0.1737864832406168,0.8028591649448775,A,-984.4318369424624,-985.5547023512707,2.2457308176171864,0.1339835943453887,7.286868416576297,4,0.1214831164987361,0.1214831164987361,0.360729682998726,Bulk,0.2679671886907774,0.1518538956234201,0.9018242074968149,0.13498124055415123
50,ENSG00000128294,TPST2,0.948134224450014,1138,381,9,0.486716771265087,0.1629517485518438,0.8281538575149369,A,-620.4534731454792,-620.5793872500446,0.2518282091309629,0.6157907110013139,3.338979392791171,4,0.5027801071469515,0.5027801071469515,0.7270208630850052,Monocytes,0.7697383887516424,0.5586445634966128,0.9959651534761912,0.5586445634966128
51,ENSG00000128294,TPST2,0.948134224450014,178,86,9,0.4406478810405921,0.2128972908398365,0.7297512234241064,A,-159.14703180922118,-159.72846119521031,1.1628587719782786,0.2808734443694071,4.211021059178055,5,0.5194513878611307,0.5194513878611307,0.6125368560844731,NK cells,0.46812240728234517,0.8045044443626505,0.9989644657424586,0.5771682087345896
52,ENSG00000128294,TPST2,0.948134224450014,28,16,9,0.3714519126238952,0.212258235785083,0.6408296643565116,B,-25.309400075886263,-25.835291397615503,1.0517826434584805,0.30509688504159,9.514283387354237,5,0.0902273867074903,0.0445051246638719,0.1802014763504877,"T cells, CD4+",0.38137110630198745,0.22556846676872572,0.4505036908762192,0.05563140582983987
53,ENSG00000128294,TPST2,0.948134224450014,19,7,9,0.2673470961007733,0.098496298563443,0.7300752459318638,A,-9.912105225635766,-10.636758284762974,1.449306118254416,0.2286393243333593,4.34497209607719,6,0.6301002880287152,0.4480448587706994,0.8102361379105385,"T cells, CD8+",0.6172372126107688,0.8066679695307437,1.0,0.49782762085633264
54,ENSG00000185651,UBE2L3,0.9839344329140248,836,162,11,0.4217343379361455,0.0817236396479133,0.8879437353416931,B,-288.6665375479115,-290.0863971991295,2.8397193024360377,0.0919602771023044,7.25925066261941,5,0.2020624184836883,0.0,0.998667408214722,B cells,0.22990069275576097,0.2965002298597609,0.998667408214722,0.0
55,ENSG00000185651,UBE2L3,0.9839344329140248,4459,513,11,0.4315960673045642,0.0496543580460285,0.9346061409569952,B,-998.9518559952684,-1001.0800774941064,4.2564429976757765,0.0391017149926937,14.646995640938613,5,0.011982119449171,0.0,0.9999270025451948,Bulk,0.09775428748173424,0.023964238898342,0.9999270025451948,0.0
56,ENSG00000185651,UBE2L3,0.9839344329140248,2426,226,11,0.3994649453853352,0.0372131400070427,0.9440556791661524,B,-447.8954214581132,-450.54526354907466,5.299684181922885,0.0213292913143885,3.3997054288223816,4,0.4932912576350812,0.0,0.995812147653635,Monocytes,0.07109763771462835,0.5586445634966128,0.9959651534761912,0.0
57,ENSG00000185651,UBE2L3,0.9839344329140248,280,31,11,0.470536080420282,0.0520950660465312,0.9413807803322454,B,-51.56877830734845,-51.6016030694874,0.0656495242779016,0.7977797067399697,0.5481421656594636,4,0.9686482537316834,0.0,0.9989644657424586,NK cells,0.7977797067399697,0.9686482537316834,0.9989644657424586,0.0
58,ENSG00000185651,UBE2L3,0.9839344329140248,289,33,11,0.2966054988527342,0.0338684479658831,0.9196815967548104,A,-56.13224461371154,-57.82938038899927,3.394271550575453,0.0654232552503972,5.196263700565783,6,0.5188986660378598,0.0,0.8595568605190285,"T cells, CD4+",0.1308465105007944,0.5765540733753998,0.9547413747057424,0.0
59,ENSG00000185651,UBE2L3,0.9839344329140248,119,16,11,0.4569041471173473,0.061432490368719,0.926978708856114,A,-37.454013022729775,-37.48062032050415,0.0532145955487521,0.8175611671765154,3.954794273001245,5,0.5559427008095086,1.563508211788189e-10,0.997906110490627,"T cells, CD8+",0.962511953598502,0.8066679695307437,1.0,1.563508211788189e-09
